title,ingredients,method,url
Main navigation,"['200g white quinoa', '400ml water', '½ tin (250g) black turtle beans', '1 beetroot, washed and grated', '1 large carrot, washed and grated', '100g kale, washed, roughly chopped', '150g oatmeal, ground in a food processor', '½ tsp cumin', '½ tsp smoked paprika', '1 tbsp Knorr Concentrated Liquid Vegetable Stock', '2 tbsp olive oil', '4 large or 10 small whole grain burger buns', 'Hellmann’s Vegan Mayonnaise', '80g red onion, sliced thin', '1 avocado, cleaned and sliced', '3 orange tomatoes, thin slices', '80g lettuce mixed with watercress and/or spinach']",[],https://www.wwf.org.uk/recipes/quinoa-bean-burger
Main navigation,"['300g pak-choi (Chinese cabbage)', '1 red pepper', '200g oyster mushrooms', '1 tbsp vegetable oil', '200ml coconut milk, reduced fat', '250ml water', '2 tsp Knorr Reduced Salt Vegetable Granules', '2 tbsp curry spice seasoning', '140g pineapple, fresh or from a tin', '3 tbsp sesame seeds']",[],https://www.wwf.org.uk/recipes/pak-choi-curry
Red Cabbage Soup,"['400g red cabbage', '1 onion', '2 tbsp vegetable oil', '150ml orange juice', '2 tsp Knorr Reduced Salt Vegetable Granules', '500ml water', '50ml soy or oat cream, for cooking']",[],https://www.wwf.org.uk/recipes/red-cabbage-soup
Frittata,"['6 eggs', '1 cup of Florida Milk - I used 2%', '1 - 1 1/2 cups diced veggies - I used mushrooms, mini sweet peppers, grape tomatoes, zucchini, red onions and jalapenos', '1/2 cup meat of choice - I had 3 breakfast chicken sausages leftover from the weekend, so I used those!', 'Salt, pepper and seasonings to taste']","['Preheat oven to 400 degrees.', 'Clean and dice all veggies.', 'Warm an oven-safe skillet, I used cast iron.', 'Sauté vegetables and sausage.', 'While vegetables and sausage are cooking, mix 6 eggs and the milk in a small bowl.', 'Once the vegetables are soft, gently pour in the milk/egg mixture to the skillet.', 'Bake for 15-18 mins until eggs are thoroughly cooked and top is slightly brown.', 'Serve with fresh fruit and a glass of Florida Milk.']",https://www.floridamilk.com/in-the-kitchen/recipes/breakfast/frittata.stml
Taco Stuffed Peppers,"['4 large green bell peppers', '1 pound lean ground beef', '1 cup tomato sauce', '1 teaspoon garlic powder', '2 teaspoons chili powder', '½ teaspoon cumin', '1 teaspoon salt', '½ teaspoon pepper', '1 teaspoon oregano', '1 ½ cups shredded cheddar cheese', 'Shredded lettuce, diced tomatoes, sour cream, and sliced black olives for garnish']","['Preheat oven to 350F', 'In a not-stick skillet, brown the meat and drain excess fat. Add the tomato sauce and seasonings, and remove from heat.', 'While the meat is browning, blanch the peppers in a large pot of boiling water for 5 minutes, or until slightly tender.', 'Allow the peppers to cool enough to handle, and slice each on lengthwise, scoop out seeds and membranes so you will have 8 half pepper “bowls.”', 'Arrange each pepper bowl on a foil lined casserole dish (9x13”).', 'Fill each pepper with meat mixture and top with cheese.', 'Bake in preheated oven for 20 minutes', 'Garnish with sliced tomatoes, lettuce, black olives, and sour cream.']",https://www.floridamilk.com/in-the-kitchen/recipes/dinner/taco-stuffed-peppers.stml
Strawberry Green Smoothie,"['2 celery stalks greens removed', '5 strawberries greens removed', '1 cup fresh spinach', '6 ice cubes', '1 cup Florida Milk', 'Sprinkle of cinnamon']","['Place all ingredients into your favorite blending device', 'Blend until smooth', 'Sprinkle cinnamon on the top before serving', 'Enjoy!']",https://www.floridamilk.com/in-the-kitchen/recipes/beverages/strawberry-green-smoothie.stml
Creamy Vegetable Soup,"['1 cup peeled and medium diced parsnips', '1 cup peeled and medium diced carrots', '1 cup peeled and medium diced Yukon Gold potatoes', '1/2 cup peeled and small diced turnips', '3 whole garlic cloves, sliced', '1/2 cup (1 stick) unsalted butter', '2 1/2 cups heavy cream', '2 1/2 cups vegetable or chicken stock', '4 sprigs fresh thyme', '1 sprig fresh rosemary', '3 bay leaves', '1 tablespoon thinly slice fresh chives, for serving', '1 tablespoon finely minced fresh tarragon, for serving', 'Kosher salt, freshly ground black pepper, to taste', 'White truffle oil, for serving']","['Combine vegetables, garlic, butter, cream, stock, thyme, rosemary, and bay leaves in a heavy-bottomed pot.', 'Bring to a boil over medium-high heat, then lower heat and simmer for 30 minutes\xa0or until vegetables are soft.', 'Season with salt and pepper.', 'Remove from heat and discard bay leaves and herbs.', 'Blend to a smooth consistency with immersion blender or in a food processor, adding more liquid or cream, if needed, for desired consistency.', 'To serve, garnish with fresh chives, tarragon, and a drizzle of truffle oil.']",https://www.floridamilk.com/in-the-kitchen/recipes/sides/creamy-vegetable-soup.stml
Strawberry Orange Banana Sunrise Crepes,"['4 egg yolks, at room temperature', 'Zest of 2 oranges', '1/3c. fresh orange juice', '½ c. sugar', 'pinch of salt', '4 tbsp. unsalted butter, softened']","['In a small bowl, whisk together the egg yolks, orange zest, orange juice, sugar, and salt. Transfer to a small saucepan.', 'Cook the mixture over low-medium heat, stirring constantly, until it is thick enough to coat the back of a spoon, 3 to 5 minutes.', 'Remove from heat and add the butter. Mix until smooth.', 'Transfer the curd to a small bowl and cover with plastic wrap.', 'Refrigerate until chilled, about 30 minutes.']",https://www.floridamilk.com/in-the-kitchen/recipes/breakfast/strawberry-orange-banana-sunrise-crepes.stml
Spanish Omelet Featuring Latin Cheeses,"['1 tablespoon\xa0butter', '2 tablespoons\xa0cream (or half and half)', '3 eggs', '2 tbs cooked, crumbled chorizo sausage', '¼ cup Oaxaca cheese, diced (found in Latin supermarkets) *mozzarella may be substituted', '¼ cup Queso Fresco (crumbled) *feta may be substituted', '1 tbs canned diced green chilies (drained from can)', 'Fresh chopped tomatoes and cilantro for garnish']","['Break the eggs in a bowl, add cream and beat until incorporated.', 'Heat butter in a small nonstick skillet over medium high.', 'Pour the eggs in, swirling the pan to spread eggs evenly.', 'Sprinkle the sausage, green chilies, and cheese evenly over the eggs.', 'Allow to cook 4-7 minutes\xa0or until a spatula can easily slide under eggs.', 'Gently slide spatula under eggs, and flip one half over, forming a half circle.', 'Allow to cook 3-4 more minutes and slide onto a serving plate.', 'Garnish with Queso Fresco, chopped tomatoes and cilantro.**note: Due to the sodium content of the chorizo and Queso fresco salt has been refrained in this recipe. Salt may be added to taste.']",https://www.floridamilk.com/in-the-kitchen/recipes/breakfast/spanish-omelet-featuring-latin-cheeses.stml
Day after Thanksgiving Turkey Croquettes,"['2 cups leftover turkey', '½ cup milk', '¼ cup flour', '1 egg, beaten', '1 teaspoon poultry seasoning', '2 stalks celery, diced', '1 medium carrot, diced', '1 small onion diced', 'Butter, bread crumbs']","['In a saucepan, sauté the carrots, onion and celery until tender', 'Whisk together the milk, flour and poultry seasoning and pour over vegetables', 'Cook until mixture is thick', 'Remove from heat and allow to cool slightly', 'Stir in the leftover turkey and beaten egg (mixture will be thick)', 'Shape into patties', 'Coat each patty lightly with bread crumbs', 'Cook patties in a nonstick skillet over medium high heat for 6 minutes each side']",https://www.floridamilk.com/in-the-kitchen/recipes/holiday/day-after-thanksgiving-turkey-croquettes.stml
Skinny Buffalo Dip,"['2 cups shredded (cooked) chicken breast', '4 ounces softened Neufchatel cheese', '1/3 cup plain fat free Greek yogurt', '3 tbs low fat/ light ranch dressing', '2 tbs low fat/light blue cheese dressing', '2-4 tbs buffalo wing sauce', '¼ cup finely diced celery', '¼ cup finely diced carrots']","['In a bowl, combine the Neufchatel cheese, yogurt, ranch, and buffalo sauce.', 'Microwave on HIGH for one minute, stir until smooth.', 'Gently fold in the chicken breast, carrots, and celery.', 'Serve hot or chilled with additional celery,\xa0carrots, and crackers.']",https://www.floridamilk.com/in-the-kitchen/recipes/appetizers/skinny-buffalo-dip.stml
Three Seed Berry Parfait,"['2 cups yogurt', '2 tbsp honey (more or less to taste)', '2 tsp lemon juice freshly squeezed', '1 cup raspberries', '1 cup blueberries', '1 cup strawberries', '1 tbsp ground flax seeds', '1 tbsp chia seeds', '1 tbsp hemp seeds']","['Add yogurt, honey, and lemon juice in a bowl or glass and stir to combine.', 'Layer the yogurt, berries, and seeds in a parfait glass or bowl, ending with a sprinkling of seeds on top.', 'Serve and enjoy!']",https://www.floridamilk.com/in-the-kitchen/recipes/breakfast/three-seed-berry-parfait.stml
Creamy Avocado Toast with a Protein Punch,"['1 Haas avocado', '¼ cupplain Greek yogurt', '1 teaspoon fresh lemon juice', '1/4 teaspoon Kosher salt', '1/4 teaspoon freshly ground black pepper', '2 slices whole grain bread, toasted', '1 teaspoon extra-virgin olive oil', 'Everything bagel topping']","['In a small bowl, combine avocado, Greek yogurt, lemon juice, salt, and pepper. Gently mash with the back of a fork. Let it rest so the flavors develop. In the meantime, toast the bread.', 'Top toasted bread with avocado mixture. Drizzle with olive oil and sprinkle over desired toppings.']",https://www.floridamilk.com/in-the-kitchen/recipes/breakfast/creamy-avocado-toast-with-a-protein-punch.stml
Raspberries and Pistachio Overnight Oats,"['2 cups of rolled oats', '2.5 cups of Florida Milk', '2 tablespoons honey', '1/2 cup sugar', '2 cups raspberries for jam', '2 cups crushed pistachio', 'Fresh raspberries for topping']","['Combine the rolled oats, milk, and honey in a medium bowl. Cover with plastic wrap. Place in the fridge overnight to soak.', 'For the jam place raspberries and sugar in a saucepan over medium heat. Cook, stirring, for 5 mins or until sugar dissolves and raspberries soften. Transfer to a blender. Blend until smooth. Set aside to cool completely(You can prepare the night before as well, and refrigerate)', 'Layer the raspberry jam, crushed pistachio and oat mixture in serving jars or cups. Top with the raspberries and pistachios. Enjoy!']",https://www.floridamilk.com/in-the-kitchen/recipes/breakfast/raspberries-and-pistachio-overnight-oats.stml
Skillet Chicken and Vegetable Alfredo,"['4 tbsp. extra-virgin olive oil', '2 boneless skinless chicken breasts or precooked chicken', 'Kosher salt', 'Freshly ground black pepper', '8 - 12 oz. fettuccine', 'Veggies: up to three cups of spinach, kale, zucchini, cauliflower, carrots, mushrooms, peas, asparagus, grape or cherry tomatoes', '1/2 cup butter', '2 - 2 1/2 cups whole milk or heavy cream', '2 clove garlic, crushed\xa0\xa0or minced', '2 cups freshly grated Parmesan cheese', '1/4 cup chopped fresh parsley, set aside small amount) for garnish']","['Cut chicken into thin slices.', 'Heat oil and cook chicken in skillet over medium-high heat.', 'Season chicken with salt and pepper and cook until golden. Make sure chicken is cooked throughout.', 'Once chicken is cooked remove from skillet and set aside for a few minutes. In the same pan, add oil (2 tbsp) and heat vegetables of your choice on medium for 3-4 minutes. Vegetables will not be cooked throughout. Remove and set aside with chicken.', 'Melt butter in a medium saucepan over medium low heat.', 'Add cream and simmer for 5 minutes.', 'Add garlic and cheese and whisk quickly, heating throughout.', 'Once sauce has thickened remove from heat and stir in pasta, chicken, and vegetables on low heat.', 'If your sauce is too thick, add a few tablespoons of cream until you achieve your desired sauce thickness and/or add more pasta and vegetables if you desire.']",https://www.floridamilk.com/in-the-kitchen/recipes/skillet-chicken-and-vegetable-alfredo.stml
Fish Tacos with Mango Slaw,"['1-2 lbs of fish - I used Cod', '2+cups of Florida Milk - I used 2%', 'Your favorite seasoning - I used a blackening seasoning', '1 tsp coconut oil - feel free to substitute your favorite cooking oil']","['Place fish in a large bowl and cover with Florida Milk. Allow the fish to soak for at least 20 minutes.Soaking the fish in milk removes any ""fishy smell"" and tenderizes the fish.', 'Preheat a cast iron skillet or your favorite non-stick skillet.', 'Add the coconut oil.', 'After the fish has been in the milk for 20 minutes, place it in the heated skillet.', 'Sprinkle on your favorite seasoning.', 'Flip the fish after 2-4 minutes depending on the thickness of your filets.', 'Sprinkle the other side of the fish with your favorite seasoning.', 'When the fish is flaky and white it is done, approximately another 2- 4 minutes.', 'Serve on soft tortillas or hard taco shells.', 'Top with Mango Jalapeno Slaw.', 'Garnish with queso fresco (or your favorite cheese) and extra jalapeno slices.']",https://www.floridamilk.com/in-the-kitchen/recipes/lunch/fish-tacos-with-mango-slaw.stml
Christmas Morning Quiche,"['1 pre made pie crust for 9” pie', '6 eggs', '¾ cup milk (whole or low fat)', '¼ cup diced green bell pepper', '¼ cup diced red bell pepper', '¾ cup shredded Colby jack cheese', '1 small onion, diced', '½ teaspoon salt', '¼ teaspoon pepper']","['Preheat oven to 350 F', 'Carefully unroll pie crust and line a 9""\xa0deep dish pie pan', 'In a bowl, beat the eggs and milk together', 'Add the pepper, onion, cheese, salt and pepper', 'Pour mixture into pie crust', 'Bake in preheated oven for 35 minutes or until center is set.']",https://www.floridamilk.com/in-the-kitchen/recipes/holiday/20217-christmas-morning-quiche.stml
Creamy Tomato Sauce,"['1 cup Florida milk', '1/2 cup Parmesan cheese', '2 tomatoes', '1 shallot', '1/2 cup fresh basil', '1 tablespoon\xa0garlic powder', '1 teaspoon\xa0salt', '1 tablespoon\xa0extra virgin olive oil (optional)', '1 teaspoon\xa0corn starch (optional)']","['Dice the tomatoes and shallot; finely chop the basil leaves.', ""Heat a skillet until it's hot, and add olive oil (if desired)."", ""Add the shallots and toss in the pan for a couple of minutes until they're translucent and slightly browned."", 'Add the tomatoes and season all over with the garlic powder, salt, and chopped basil.', 'Toss all together so that the tomatoes are seasoned evenly, they will start to soften and release water; cook everything in the pan at medium-high heat for 30 minutes until the sauce thickens.', 'Add the milk and Parmesan cheese, then mix evenly. Wait for the sauce to thicken for another 20 minutes, add a little corn starch for a thicker texture.', 'Serve with your favorite pasta, with pizza, chicken, or shrimp. Store in a glass container and refrigerate, or freeze if you want to use it at a much later date.']",https://www.floridamilk.com/in-the-kitchen/recipes/sides/creamy-tomato-sauce.stml
Thanksgiving Leftover Casserole,"['4 cups leftover turkey, diced or shredded', '8 oz cranberry sauce (approx. 1/2 can)', '2 cups mashed potatoes', '1 cup green bean casserole', '2 cups corn (1 15 oz can)', '1 cup gravy', '3/4 cup milk', '5 cups prepared (leftover) stuffing']","['Preheat oven to 350 degrees.', 'Spray a 9x13 baking pan with cooking spray and set aside.', 'In a medium bowl, mix the turkey and cranberry sauce.', 'Add the turkey mixture to the baking pan.', 'Layer on the mashed potatoes, use a spatula to spread them out evenly.', 'Layer on the green bean casserole, use the spatula to spread it out evenly.', 'Sprinkle on the corn over the green bean casserole.', 'In the same bowl you used for the turkey and cranberry, add in the gravy and milk, stir well.', 'Pour the gravy/milk mixture over the corn.', 'Using a large spoon, add the stuffing as the final layer to the Thanksgiving Leftover Casserole.', 'Cover and bake for 35-40 minutes or until warm throughout.', 'Uncover and bake for an additional 5 minutes to brown the top. Add cranberries for decoration if desired.', 'Serve with a cold glass of milk. Enjoy!']",https://www.floridamilk.com/in-the-kitchen/recipes/desserts/thanksgiving-leftover-casserole.stml
Cheesy Churrasco Empanadas,"['1 medium onion, diced', '1 green bell pepper, diced', '4 garlic cloves, minced', '1 cup Monterey Jack Cheese', '1 tablespoon of each; onion powder, garlic powder, chili powder', 'Salt and pepper to taste', 'Olive oil, for cooking of the mixture', '1 package (12 count) prepare empanada dough discs, thawed', 'Oil for deep frying']","['Heat oil in a large skillet over medium-high heat. Once the pan is slightly smoking, add cubed beef and cook until browned, about 5 minutes. Add onions, pepper, and garlic and cook until translucent, about 3 minutes. Stir in the tablespoon of onion powder, garlic powder, chili powder, and season with salt and pepper to taste, cook for about 5 minutes until all flavors are combined. Take off the heat and allow to cool.', 'Add the cheese to the cooled meat mixture and mix.', 'On a lightly floured work surface (to prevent sticking to your work surface), place the pre-rolled empanadas disc one at a time. Spoon about 3 tbsp of the meat mixture into the middle, fold in half to form a half moon; moisten edges with water and seal with the back of a fork by pressing down on the dough.', 'Fill a deep fry pan with oil to a depth of 2 inches. Heat oil over medium-high heat. CookEmpanadas2 at a time until crisp and golden brown, flipping once, about 2 - 3 minutes per side. Drain and serve warm.']",https://www.floridamilk.com/in-the-kitchen/recipes/dinner/cheesy-churrasco-empanadas.stml
Cheesy Chicken Pot Pie,"['2 pounds boneless chicken breast, cut into half inch cubes', '3 cups whole milk', '1 cup shredded sharp cheddar cheese', '1/2 cup cream cheese', '1/2 all purpose flour', '1 onion, chopped', '2 celery sticks, chopped', '1 cup broccoli', '2 garlic cloves, minced', '2 cups frozen peas and carrots, thawed', 'Fresh sprig of thyme and sage', 'Salt and black pepper for seasoning', '3 tablespoons\xa0vegetable oil', 'Refrigerated pie crusts', '1 egg, beaten']","['Using a Dutch Oven, heat and add 3 tablespoons\xa0of vegetable oil and add cubed chicken until cooked, about 5 minutes. Add the onion, celery, broccoli, garlic, thyme, sage and season with salt and black pepper. Cook for about 3 more minutes or until vegetable are translucent.', 'Sprinkle the flour to the chicken, mix until flour is incorporated. Add the milk and mix. Bring to a slight boil so that the flour cooks out and the sauce thickens, about 4 minutes. Add the cheddar cheese, cream cheese, and peas and carrots. Cook for about 2 more minutes', 'Place equal amounts of the pot pie filling in glass ramekins. Place pie crust over hot chicken mixture. Fold over edges to fit inside ramekin edges. Cut small slits in surface of crust with paring knife. Brush with egg and sprinkle with kosher salt. Bake for 15 min or until crust is golden brown.']",https://www.floridamilk.com/in-the-kitchen/recipes/dinner/cheesy-chicken-pot-pie.stml
Key Lime Ice Cream Pie,"['1/2 gallon vanilla\xa0\xa0ice cream softened', '1 key lime pie - fresh or frozen', '1/2 cup white chips', '1/2 cup chocolate chips', '1/2 cup slivered almonds', 'whipped cream']","['Soften ice cream for about 30 minutes to an hour outside the freezer. Make sure it does not melt completely.', 'Chop key lime pie into cubes.', 'In a large bowl mix ice cream, pie, and white and chocolate chips.', 'Place mix in a freezer proof container with lid for at least 8 hrs.', 'Top with whipped cream, more chips and slivered almonds']",https://www.floridamilk.com/in-the-kitchen/recipes/desserts/key-lime-ice-cream-pie.stml
Fresh Strawberries and Cream Cheese Bars,"['1 (16.5-ounce) package refrigerated sugar cookie dough', '2 cups old-fashioned or quick oats, divided', '2 (8-ounce) packages low-fat cream cheese, softened', '1/3 cup superfine granulated sugar', '1 teaspoon fresh lemon zest', '1 tablespoon pure vanilla extract', '1 teaspoon nutmeg', '2 large eggs', '2 cups chopped fresh Florida strawberries']","['Heat oven to 350F. Line a 13-by-9-inch baking pan with nonstick foil, letting 1 inch of the lining hang over the sides.', 'Press the cookie dough into the bottom of the baking pan. Bake for 15 minutes\xa0or until just golden brown. Do not overbake. Place pan on a wire rack. While cookie crust is still warm, press 1 cup of the oats on top (see Recipe Notes). Let pan cool completely.', 'With a mixer, combine the cream cheese, sugar, lemon zest, vanilla extract, nutmeg, and eggs. Spread over the bottom of the cooled cookie crust. Top with chopped strawberries (see Recipe Notes).', 'For the crumble topping, mix 1 1/2 cups flour, 3/4 cup light-brown sugar, 1/3 cup granulated sugar, and 1/4 teaspoon each salt and cinnamon. Cut 1 1/2 sticks chilled butter into pieces. With your hands (see Recipe Notes), work in the butter pieces, until loose clumps form. Scatter the mixture over the top of the berries. You do not have to completely cover the fruit (see Recipe Notes). Bake 30-35 minutes or until filling is set. Cool completely on a wire rack.', 'Refrigerate, covered, overnight. Using the foil or parchment “handles,” lift bars from pan and place on a cutting board. Cut into bars.']",https://www.floridamilk.com/in-the-kitchen/recipes/desserts/fresh-strawberries-and-cream-cheese-bars.stml
Summer Skillet Lasagna,"['', '5 tablespoons unsalted butter, divided', '1 medium zucchini, thinly sliced', '1 medium summer squash, thinly sliced', '1 medium carrot, peeled and diced', '4 cups loosely packed baby spinach, chopped', '2 teaspoons salt', '1 teaspoon black pepper', '4 garlic cloves, minced', '1 1/2 pounds fresh ripe tomatoes, diced', '1/4 cup sliced fresh basil, divided', '1/4 cup chopped fresh parsley, divided', '1 1/2 cups ricotta cheese', '1 large egg', '1/4 cup grated parmesan cheese', '1 1/2 cups shredded mozzarella cheese', '9 to 12 no-bake lasagna noodles', '']","['Set 10-inch cast iron skillet over medium-high heat and melt 2 tablespoons butter. Once melted, add zucchini, summer squash and carrots. Cook until softened, about 5 minutes. Add spinach, a few handfuls at a time, and cook, stirring often until wilted down. Season with 1 teaspoon salt and 1/2 teaspoon black pepper and cook for a minute longer. Transfer to plate or bowl and set aside.', 'Return skillet to heat and add remaining 3 tablespoons butter. Once melted, add garlic and cook for about 30 seconds. Stir in tomatoes and cook until softened, about 5 minutes. Season with remaining salt, pepper, half the basil and half the parsley. Simmer on low for about 2 minutes longer. Remove from heat and carefully transfer to blender and purée until smooth.', 'In medium bowl, stir together ricotta, egg, parmesan and remaining herbs until evenly combined. Season with a pinch of salt and pepper.', 'To assemble lasagna, place about 1 cup of sauce onto bottom of same skillet you used earlier, no need to clean. Top with 2 pieces of lasagna noodle, you might have to break them a bit to have them fit. Take another lasagna sheet and break it into small pieces and place over any holes on bottom. It doesn’t have to look perfect, but you want it fairly well covered. Top with half of veggies, spread with half of ricotta mixture and sprinkle with a bit of shredded mozzarella.', 'Place two more sheets on top, and cover up any holes again with broken pasta pieces. Spread sauce over top and repeat layering with remaining veggies, ricotta, a bit more cheese and two more lasagna sheets. Finish off with sauce on top and shredded mozzarella cheese.', 'Set skillet over medium-low heat, cover and simmer until noodles have softened and cheese has melted, about 20 minutes. Before serving, you can place lasagna under broiler for a minute or two to brown the top, but it’s not necessary. Let sit for about 10 minutes before cutting into it, allowing the sauce to thicken slightly.']",https://www.floridamilk.com/in-the-kitchen/recipes/dinner/summer-skillet-lasagna.stml
